102 150
2 10 1
2 58 1
3 68 1
3 83 1
4 17 1
5 7 1
5 52 1
5 88 1
6 9 1
6 23 1
6 93 1
8 91 1
8 94 1
9 19 1
9 28 1
10 8 1
10 31 1
10 53 1
11 54 1
12 31 1
13 51 1
14 65 1
15 47 1
15 81 1
18 9 1
18 94 1
19 76 1
21 17 1
21 84 1
23 13 1
24 83 1
24 88 1
24 98 1
26 14 1
26 23 1
26 81 1
27 22 1
27 48 1
27 99 1
31 50 1
32 9 1
32 27 1
32 47 1
33 91 1
34 1 1
34 8 1
34 9 1
34 52 1
34 77 1
34 88 1
34 95 1
35 100 1
35 41 1
36 57 1
36 77 1
38 15 1
38 85 1
38 99 1
39 64 1
40 25 1
41 29 1
41 72 1
42 47 1
45 11 1
46 49 1
46 84 1
49 7 1
49 14 1
49 19 1
49 58 1
49 78 1
49 94 1
50 100 1
50 4 1
50 51 1
52 44 1
52 55 1
53 9 1
53 23 1
53 55 1
55 16 1
55 28 1
56 22 1
56 44 1
57 14 1
57 44 1
57 99 1
58 19 1
58 37 1
59 3 1
59 17 1
59 22 1
59 57 1
60 100 1
61 30 1
62 63 1
63 90 1
65 63 1
66 18 1
66 61 1
67 11 1
67 77 1
67 81 1
68 1 1
68 47 1
68 53 1
68 96 1
69 6 1
69 42 1
70 5 1
70 14 1
70 17 1
71 17 1
71 75 1
71 95 1
72 63 1
73 62 1
73 81 1
73 85 1
73 91 1
73 93 1
74 6 1
74 14 1
74 48 1
75 20 1
75 48 1
75 51 1
76 54 1
76 91 1
78 1 1
78 63 1
79 47 1
79 58 1
79 75 1
80 54 1
80 95 1
81 44 1
82 22 1
86 19 1
88 23 1
88 25 1
92 90 1
93 44 1
95 44 1
96 81 1
97 100 1
97 50 1
97 56 1
99 15 1
99 65 1
20 17 14 2 15 8 3 17 4 8 5 1 4 14 12 16 3 15 20 19 6 19 18 5 19 6 3 20 8 9 11 11 19 18 12 11 3 3 10 15 13 2 15 16 6 7 20 11 12 14 10 8 13 11 11 12 3 12 2 13 10 2 18 12 8 16 7 17 2 10 7 12 9 2 3 13 8 1 18 9 5 20 4 15 8 1 20 6 20 6 17 1 1 6 18 20 18 8 20 2 
0 0

_______________________________________________
Output:

100
59 3 68 53 9 19 76 91

Task	EC	LC	Slack
1	53	100	47
2	17	25	8
3	16	16	0
4	52	97	45
5	25	61	36
6	10	46	36
7	28	100	72
8	42	83	41
9	50	50	0
10	25	33	8
11	12	89	77
12	1	65	64
13	68	90	22
14	33	68	35
15	46	79	33
16	73	100	27
17	55	100	45
18	31	46	15
19	70	70	0
20	40	100	60
21	6	85	79
22	49	100	51
23	64	86	22
24	5	62	57
25	50	100	50
26	6	54	48
27	14	47	33
28	77	100	23
29	33	100	67
30	35	100	65
31	36	76	40
32	11	44	33
33	19	83	64
34	18	46	28
35	12	51	39
36	11	44	33
37	34	100	66
38	3	47	44
39	10	88	78
40	15	81	66
41	25	64	39
42	4	80	76
43	15	100	85
44	74	100	26
45	6	84	78
46	7	26	19
47	66	100	34
48	32	100	68
49	19	38	19
50	50	90	40
51	78	100	22
52	33	69	36
53	46	46	0
54	94	100	6
55	57	80	23
56	30	81	51
57	14	47	33
58	31	50	19
59	2	2	0
60	13	98	85
61	26	91	65
62	11	76	65
63	60	94	34
64	22	100	78
65	42	76	34
66	16	31	15
67	7	79	72
68	33	33	0
69	2	38	36
70	10	46	36
71	7	66	59
72	37	76	39
73	9	74	65
74	2	38	36
75	21	81	60
76	83	83	0
77	26	100	74
78	20	76	56
79	18	38	20
80	9	66	57
81	58	84	26
82	20	81	61
83	20	100	80
84	22	100	78
85	17	100	83
86	1	50	49
87	20	100	80
88	31	68	37
89	20	100	80
90	66	100	34
91	100	100	0
92	1	94	93
93	11	84	73
94	48	100	52
95	36	84	48
96	53	79	26
97	18	69	51
98	13	100	87
99	34	67	33
100	52	100	48

8
1
59 3 68 53 9 19 76 91 

Time: *** msec.
Memory: *** MB / *** MB.
